id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
5228,7,6290,Nueva megafonia para el Mercado de Ruzafa,2,l'Eixample,Representante GT,0.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,2,l'Eixample,matched
5253,7,6315,PARQUE PERROS - Vallado del area de socializacion de perros junto a MediaMarkt.,4,Campanar,Particular,11.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
5292,7,6354,Un jardi al solar de Mossen Sorell - Dalt- Corona,1,Ciutat Vella,Particular,84.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,1,Ciutat Vella,matched
5315,7,6377,AMPLIACIoN ACERAS CL.SAN FRANCISCO DE BORJA-JESuS,3,Extramurs,Representante GT,0.0,SI,SI,265.0,NO,24200.0,Sin etiqueta,2023-04-27,,3,Extramurs,matched
5340,7,6402,Rehabilitacio perimetral de la façana de l'edifici municipal El Patronato,17,1,Particular,67.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,17,Pobles del Nord,matched
5524,7,6586,Ampliacion parque Nuevo Malilla,10,Quatre Carreres,Particular,63.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
5736,7,6798,Mejora movilidad en Barrio Albors,12,Camins al Grau,Particular,34.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,12,Camins al Grau,matched
2525,5,3213,Adquisicion de escenario para actividades culturales en Benifaraig,Toda la ciudad,Toda la ciudad,Particular,56.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2823,5,3511,SOLICITUD DE PARARRAYOS EN URBANIZACIONES DE MASARROCHOS,Toda la ciudad,Toda la ciudad,Particular,6.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
3181,6,4237,Pistas deportivas y zona de recreo.,11,Poblats Maritims,Particular,39.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
3223,6,4279,Espacios Verdes y zonas infantiles,2,l'Eixample,Particular,41.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,2,l'Eixample,matched
3230,6,4286,arboles  vivos en alcorques,11,Poblats Maritims,Particular,25.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
3273,6,4329,Ampliacion de Acera Avenida nou d'octubre (enfrete conselleries),7,l'Olivereta,Particular,22.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,7,l'Olivereta,matched
3519,6,4576,Pista outdoor baloncesto Favara/ Safranar,8,Patraix,Particular,35.0,SI,SI,413.0,NO,80000.0,No aplicable,2023-04-27,,8,Patraix,matched
3638,6,4695,Parque de perros en calle Miguel Servet,4,Campanar,Particular,12.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
3663,6,4721,RESIDENCIA DE ANCIANOS,5,la Saidia,Particular,6.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,5,la Saïdia,matched
3713,6,4771,"CAMPAÑA CONCIENCIACION PARQUES LIMPIOS SIN ORINES NI EXCREMENTOS,",8,Patraix,Particular,32.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
3809,6,4870,Iluminacion y cambio arbolado en la la calle Escultor Vicente Rodilla,8,Patraix,Particular,43.0,SI,SI,124.0,NO,209000.0,No aplicable,2023-04-27,,8,Patraix,matched
3827,6,4888,HABILATACIoN DEL SOLAR DE LAS ANTIGUAS COCHERAS DE LA EMT,12,Camins al Grau,Particular,14.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,12,Camins al Grau,matched
4054,6,5116,PUNTOS DE ALIMENTACIoN EN COLONIAS FELINAS URBANAS,3,Extramurs,Particular,45.0,SI,SI,365.0,SI,3400.0,No aplicable,2023-04-27,,3,Extramurs,matched
4133,6,5195,Peatonalizar el entorno del Palacio de la Exposicion,6,el Pla del Real,Particular,6.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,6,el Pla del Real,matched
4172,6,5234,Quitar pasarelas,10,Quatre Carreres,Ayuntamiento en rep. GT,0.0,SI,SI,24.0,NO,495000.0,No aplicable,2023-04-27,,10,Quatre Carreres,matched
4361,7,5423,Rails en les escales del riu per pujar/baixar bicicletes i patinets,3,Extramurs,Particular,3.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,3,Extramurs,matched
4432,7,5494,Calle de doble sentido,4,Campanar,Particular,2.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
4450,7,5512,Puesta en valor del Solar detras del Museo Fallero,10,Quatre Carreres,Particular,10.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
